### Q1077097, tambon- central government unit in Thailand : _wdadd_ 
Q7829892,town of New Jersey
Q7830213,township of New Jersey
Q7930612,village of New Jersey
Q55313685,municipality of Macau
Q63440326,city of Oregon
Q64515521,Municipality of South Vietnam
Q68889614,rural municipality
Q11722303,rural municipality of Sweden and Finland
Q11983070,rural municipality of Norway
Q12336315,rural municipality of Denmark
Q71111443,politische Israelitengemeinde
Q74293993,rural municipality
Q76514543,municipality of Georgia
Q89031988,provincial municipality of Turkey
Q96857311,Village of Guam
Q98058553,Municipal worker
Q100503226,town of the United Kingdom
Q19576,wilayah
Q1462047,vilayet of the Ottoman Empire
Q2800279,Six vilayets
Q2225692,fourth-level administrative division in Indonesia
Q882149,nagari
Q4285979,gampong
Q12488911,kampung
Q12488913,kampung of Papua
Q19944049,pekon
Q23308490,dusun
Q26211545,desa
Q97202782,negeri
Q3250615,province of Oman
Q28575,county
Q7695,march
Q47168,county of the United States
Q3301053,consolidated city-county
Q11774062,county of Arkansas
Q11774097,county of Texas
Q11774149,county of Iowa
Q11812346,county of Illinois
Q12037308,county of South Dakota
Q12178655,county of North Dakota
Q12178928,county of Wisconsin
Q44555359,WOW counties
Q12262532,county of Minnesota
Q13212489,county of California
Q13218382,charter city and county
Q13217186,county of Arizona
Q13410400,county of Alabama
Q13410403,county of Colorado
Q13410411,county of Delaware
Q13410422,county of Florida
Q13410428,county of Georgia
Q13410431,county of Hawaii
Q13410433,county of Idaho
Q13410438,county of Indiana
Q13410444,county of Kansas
Q13410447,county of Kentucky
Q13410454,county of Maine
Q13410464,county of Maryland
Q13410485,county of Massachusetts
Q13410496,county of Michigan
Q13410508,county of Mississippi
Q13410520,county of Missouri
Q13414354,county of Connecticut
Q13414358,county of Montana
Q13414361,county of Nebraska
Q13414369,county of Nevada
Q13414753,county of New Hampshire
Q13414754,county of New Jersey
Q13414755,county of New Mexico
Q13414757,county of New York
Q13414758,county of North Carolina
Q13414759,county of Ohio
Q13414760,county of Oklahoma
Q13414761,county of Oregon
Q13414763,county of Pennsylvania
Q13414764,county of Rhode Island
Q13414765,county of South Carolina
Q13415365,county of Utah
Q13415366,county of Tennessee
Q13415367,county of Vermont
Q13415368,county of Virginia
Q13415369,county of Washington
Q13415370,county of West Virginia
Q13415371,county of Wyoming
Q57053,county of Croatia
Q137535,county of Iran
Q101057139,county of Razavi Khorasan
Q171809,county of England
Q180673,ceremonial county of England
Q643815,metropolitan or non-metropolitan county of England
Q769603,non-metropolitan county
Q1136601,unitary authority of England
Q769628,metropolitan county
Q1138494,historic county of England
Q21272231,county council area
Q630638,preserved county of Wales
Q1317848,county of Northern Ireland
Q2991484,county of Canada
Q603715,county of New Brunswick
Q2991491,historic county of Quebec
Q3248567,county of Prince Edward Island
Q11774771,county of Nova Scotia
Q14763041,county of Ontario
Q2991489,county palatine
Q5177120,county of Tasmania
Q7234043,Postal counties of the United Kingdom
Q15979307,principal area of Wales
Q16822724,county of New Zealand
Q18224884,Condado del Sacro Romano Imperio
Q18603529,condado (Portugal)
Q18652293,Baoli
Q18658990,街庄社鄉
Q20974973,county of Australia
Q5177126,county of Victoria
Q15643559,county of Western Australia
Q15643578,county of New South Wales
Q17000640,Nineteen Counties
Q15643599,county of Queensland
Q15643615,county of South Australia
Q15643694,county of the Northern Territory
Q28739697,ancient county of China
Q55030674,county of American Samoa
Q58001476,condado (Spain)
Q67770276,historic county
Q2991491,historic county of Quebec
Q67376938,historic county of the United Kingdom
Q1138494,historic county of England
Q1317848,county of Northern Ireland
Q1350181,shire of Scotland
Q7309443,registration county
Q104631008,Scottish landward district
Q98558416,historic county of Wales
Q85625936,county of Jamaica
Q85625936,county of Jamaica
Q85637361,local government county in Ireland
Q34876,province
Q5098,province of Indonesia
Q24746,province of the Philippines
Q48336,province of Turkey
Q50198,province of Thailand
Q70252,province of Kenya
Q83116,province of Belgium
Q8218604,province of Wallonia
Q15051068,province of Flanders
Q115291,province of Cuba
Q134390,province of the Netherlands
Q162620,province of Spain
Q4379648,provincia de Cataluña
Q41792036,oversea province of Spain
Q55379806,historical province of Spain
Q191093,province of South Africa
Q193556,province of Sweden
Q202156,province of Ireland
Q209495,historical province of France
Q209824,oblast of Bulgaria
Q1316264,Okolia
Q240601,province of Algeria
Q476075,province of Burundi
Q509686,province of Peru
Q574299,province of Prussia
Q616981,province of Brazil
Q653596,province of Gabon
Q654140,province of the Democratic Republic of the Congo
Q695469,province of Mozambique
Q719987,province of Ecuador
Q746290,state of Sudan
Q842420,region of Uzbekistan
Q847299,province of Vanuatu
Q853697,historical province of Finland
Q860290,province of Japan
Q1541735,Former Provinces of Hokkaidō
Q11358679,上国
Q11360710,下国
Q11363274,中国
Q11433655,大国
Q11630451,親王任国
Q11638417,近国
Q11641983,遠国
Q864133,province of Madagascar
Q867597,province of Equatorial Guinea
Q871217,province of Rwanda
Q913337,province of the Dominican Republic
Q1053630,province of Papua New Guinea
Q1062593,province of Bolivia
Q1075520,province of Costa Rica
Q1141653,Prowincja
Q1153408,province of Chile
Q1344695,province of Iran
Q1382893,province of Panama
Q1615742,province of China
Q1669071,province of New Zealand
Q2824648,province of Vietnam
Q3064474,province of Fiji
Q3110808,province of Ethiopia
Q3408487,province of Colombia
Q6089033,province of Boyacá Department
Q6089035,province of Cundinamarca Department
Q21274963,province of Cauca
Q21275208,province of Tolima
Q21802284,province of Risaralda
Q21803186,province of Quindío
Q25893329,province of Nariño
Q27907460,province of Magdalena
Q27907461,province of Cesar
Q27907810,province of Atlántico Department
Q3772949,Subah
Q7252588,province of Bhutan
Q7252589,province of Cambodia
Q10436164,直省
Q15620174,province of North Korea
Q15629582,province of Morocco
Q15629585,province of Austrian Lombardy
Q15629587,province of the Kingdom of Lombardy-Venetia
Q17259945,province of the Spanish Empire
Q7252696,Provincial deputation in Spanish America
Q17304098,province of Gran Colombia
Q22049119,province of Nepal
Q31073228,Disawani
Q51306396,province of Chile
Q56167919,historical province of Indonesia
Q78965820,Province of San Miguel
Q41691,demilitarized zone
Q42132,eup
Q24024845,eup of North Korea
Q24024848,eup of South Korea
Q46169,national park
Q167946,national park of Brazil
Q221879,list of national parks of Honduras
Q375132,national park of Austria
Q393259,national park of Indonesia
Q483423,national park of the Republic of Ireland
Q497829,national park of South Korea
Q619483,national park of the Czech Republic
Q746800,national park of Sweden
Q851043,national park of Albania
Q936738,national park of Vietnam
Q940368,national park of Norway
Q943017,national park of France
Q1071482,national park of Japan
Q6979639,National parks in Hokkaido
Q1095271,national park of Hungary
Q1216731,Protected areas of Hungary
Q1296040,national parks in Ukraine
Q1316973,national park of Spain
Q1317754,national park of Poland
Q1364273,national park of South Africa
Q1510355,list of national parks of Italy
Q1565555,national park of Montenegro
Q1585158,national park of Denmark
Q1612885,national park of Panama
Q1684144,national park of Costa Rica
Q1754255,list of national parks of Madagascar
Q20489083,national park of Madagascar
Q20489120,strict nature reserve of Madagascar
Q20489225,special reserve of Madagascar
Q1790016,national park of Colombia
Q1847460,national park of Paraguay
Q1896949,National Park of Canada
Q26810467,national urban park
Q1969136,national park of Ghana
